,BTC_to_propose_agent,BTC_to_receive_agent,accept_min,accept_max,accepted
440,55,45,42,100,True
441,53,47,43,100,True
442,57,43,49,100,False
443,53,47,34,100,True
444,52,48,49,100,False
445,57,43,50,100,False
446,52,48,50,100,False
447,55,45,41,100,True
448,45,55,44,100,True
449,47,53,50,100,True
450,56,44,47,100,False
451,47,53,38,100,True
452,44,56,50,100,True
453,57,43,50,100,False
454,54,46,44,100,True
455,61,39,44,100,False
456,47,53,46,100,True
457,57,43,46,100,False
458,55,45,50,100,False
459,49,51,44,100,True
460,57,43,39,100,True
461,55,45,44,100,True
462,54,46,50,100,False
463,57,43,46,100,False
464,64,36,48,100,False
465,51,49,49,100,True
466,52,48,40,100,True
467,65,35,49,100,False
468,52,48,50,100,False
469,57,43,44,100,False
470,57,43,50,100,False
471,55,45,47,100,False
472,51,49,48,100,True
473,56,44,43,100,True
474,51,49,41,100,True
475,56,44,41,100,True
476,53,47,42,100,True
477,54,46,44,100,True
478,50,50,47,100,True
479,52,48,40,100,True
480,54,46,45,100,True
481,58,42,41,100,True
482,48,52,50,100,True
483,54,46,48,100,False
484,53,47,43,100,True
485,53,47,39,100,True
486,50,50,50,100,True
487,61,39,43,100,False
488,43,57,41,100,True
489,53,47,50,100,False
490,61,39,35,100,True
491,55,45,43,100,True
492,56,44,49,100,False
493,48,52,43,100,True
494,56,44,41,100,True
495,52,48,50,100,False
496,60,40,50,100,False
497,61,39,50,100,False
498,54,46,44,100,True
499,50,50,47,100,True
